c_name,c_email_id,c_type,c_addr,e_name,e_designation,e_addr,e_branch,start_date,end_date,amount,payment_status,payment_mode,payment_date,sh_content,sh_domain,ser_type,sh_weight,sh_charges,sr_addr,ds_addr,current_status,sent_date,delivery_date
Mitchell,Harriette42@ymail.com,Internal Goods,2100 Block of 27TH AV,Harriette,Market analyst,600 Block of PINE ST,TX,05-11-1979,16-05-1983,49302,PAID,CARD PAYMENT,18-12-2014,Healthcare,Domestic,Regular,553,1210,1800 Block of 26TH ST,1200 Block of JACKSON ST,DELIVERED,4/28/2014,12/18/2014
Reginald,Matthew951@yahoo.co.in,Wholesale,300 Block of ELLIS ST,Matthew,Chief finance officer,EDDY ST / MASON ST,MA,26-09-2014,11-04-2034,78698,PAID,CARD PAYMENT,10-07-1997,Healthcare,International,Express,810,1114,2600 Block of ALEMANY BL,700 Block of HAMPSHIRE ST,DELIVERED,6/14/1997,07-10-1997
Jaylene,Geraldine867@ymail.co.in,Retail,1000 Block of MISSION ST,Geraldine,Transport manager,800 Block of BRYANT ST,CT,23-10-1983,13-07-2002,69417,NOT PAID,CARD PAYMENT,,Luggage,Domestic,Express,994,1020,BARTLETT ST / 23RD ST,500 Block of HAIGHT ST,NOT DELIVERED,8/14/1993,
Stacie,Brenda905@ymail.com,Internal Goods,800 Block of BRYANT ST,Brenda,Warehouse manager,3300 Block of JUDAH ST,UT,06-06-1994,01-06-2012,39655,NOT PAID,COD,,Home Furnishing,Domestic,Express,598,1351,1300 Block of 7TH AV,300 Block of 9TH ST,NOT DELIVERED,12/13/2019,
Jonathan,Malie282@gmail.com,Wholesale,0 Block of DRUMM ST,Malie,Branch manager,3200 Block of GEARY BL,OH,02-06-2001,26-07-2014,87400,NOT PAID,COD,,Electronics,International,Express,412,566,0 Block of EUREKA ST,1800 Block of VANNESS AV,NOT DELIVERED,9/21/1996,
Italia,Fred847@google.co.in,Internal Goods,3RD ST / FOLSOM ST,Fred,Project director,VANNESS AV / MARKET ST,MO,20-06-1986,22-07-2006,56881,PAID,CARD PAYMENT,01-11-1971,Food and Beverages,Domestic,Regular,379,590,700 Block of VANNESS AV,500 Block of LEAVENWORTH ST,DELIVERED,4/23/1971,11-01-1971
Catherine,Clay224@gmail.com,Wholesale,GOLDEN GATE AV / PARKER AV,Clay,HR manager,1000 Block of BOSWORTH ST,SD,11-03-1974,27-10-1980,99239,NOT PAID,COD,,Fashion,Domestic,Regular,892,1407,200 Block of BERRY ST,CARROLL AV / JENNINGS ST,NOT DELIVERED,12/21/2005,
Pierre,Alaysha578@hotmail.com,Wholesale,1400 Block of DEHARO ST,Alaysha,Material handling executive,800 Block of GEARY ST,UT,24-11-1971,24-11-1984,23921,NOT PAID,COD,,Industrial Equipments,Domestic,Regular,347,786,1100 Block of FRANCISCO ST,1000 Block of MARKET ST,NOT DELIVERED,07-03-1979,
Sheryl,Kelli519@gmail.com,Retail,FOLSOM ST / 3RD ST,Kelli,Non-executive director,BAY SHORE BL / JERROLD AV,OH,31-05-2009,02-10-2014,67599,NOT PAID,CARD PAYMENT,,Hazardous Goods,International,Express,457,855,100 Block of NEWMONTGOMERY ST,600 Block of SOUTH VAN NESS AV,NOT DELIVERED,4/29/1976,
Rory,Ryker154@hotmail.com,Internal Goods,0 Block of THRIFT ST,Ryker,Market analyst,400 Block of LEAVENWORTH ST,HI,24-03-2018,29-12-2035,3725,NOT PAID,COD,,Automotive,International,Express,957,1182,200 Block of SCOTT ST,2600 Block of MISSION ST,NOT DELIVERED,03-03-2012,
Cecile,Johnnie593@hotmail.com,Wholesale,100 Block of GOLDEN GATE AV,Johnnie,In House logistics executive,100 Block of BRITTON ST,RI,07-09-1973,08-01-1983,95516,PAID,COD,15-05-1991,Electronics,International,Regular,23,25,BELVEDERE ST / WALLER ST,0 Block of CEDAR ST,DELIVERED,2/18/1991,5/15/1991
Monte,Zykeria36@google.co.in,Wholesale,2400 Block of DIAMOND ST,Zykeria,Warehouse in charge,2700 Block of PACIFIC AV,VA,27-09-2001,25-10-2014,62528,PAID,COD,30-06-1976,Healthcare,Domestic,Express,479,861,800 Block of BRYANT ST,500 Block of FREDERICK ST,DELIVERED,3/31/1976,6/30/1976
Belle,Selma775@yahoo.co.in,Wholesale,FOLSOM ST / CESAR CHAVEZ ST,Selma,Head of marketing,900 Block of SANSOME ST,KY,29-04-2012,11-09-2024,21021,NOT PAID,CARD PAYMENT,,Electronics,Domestic,Express,305,834,1300 Block of CALIFORNIA ST,0 Block of RAUSCH ST,NOT DELIVERED,05-11-1976,
Rayshawn,Kathryn298@gmail.com,Wholesale,100 Block of LELAND AV,Kathryn,Technical support executive,1300 Block of PACIFIC AV,AL,02-06-1982,10-12-1987,99492,NOT PAID,CARD PAYMENT,,Healthcare,International,Express,939,1446,300 Block of CHENERY ST,BUSH ST / BUCHANAN ST,NOT DELIVERED,10-07-1980,
Abby,Karl167@google.co.in,Internal Goods,600 Block of CLEMENT ST,Karl,Branch manager,LA PLAYA ST / BALBOA ST,TX,10-08-1975,22-05-1991,60282,PAID,CARD PAYMENT,09-08-1987,Fashion,Domestic,Regular,679,1455,2600 Block of 18TH ST,800 Block of BRYANT ST,DELIVERED,3/19/1987,08-09-1987
Alonzo,Freda331@yahoo.co.in,Internal Goods,400 Block of LEAVENWORTH ST,Freda,IT support executive,1900 Block of MISSION ST,NH,14-09-2014,22-10-2019,20357,NOT PAID,CARD PAYMENT,,Electronics,International,Express,803,1020,800 Block of 30TH AV,1100 Block of MARKET ST,NOT DELIVERED,7/23/2013,
Ray,David216@ymail.com,Wholesale,4400 Block of ANZA ST,David,Inventory manager,22ND ST / IOWA ST,OH,18-05-2004,11-09-2016,24053,NOT PAID,CARD PAYMENT,,Construction,Domestic,Regular,783,1042,800 Block of GENEVA AV,300 Block of 4TH ST,NOT DELIVERED,03-02-2010,
Tiffany,Winnifred436@gmail.com,Wholesale,GEARY ST / TAYLOR ST,Winnifred,In House logistics executive,0 Block of 6TH ST,OH,30-12-2015,21-12-2033,50958,NOT PAID,CARD PAYMENT,,Industrial Equipments,Domestic,Regular,432,915,800 Block of BRYANT ST,100 Block of TOWNSEND ST,NOT DELIVERED,10/17/2017,
Rosalind,Bryce535@google.co.in,Wholesale,1500 Block of NEWCOMB AV,Bryce,Manager,20TH ST / MISSION ST,CA,30-12-2015,14-09-2020,68227,PAID,CARD PAYMENT,06-07-1977,Industrial Equipments,Domestic,Regular,776,1053,15TH ST / SANCHEZ ST,1700 Block of FULTON ST,DELIVERED,01-03-1977,07-06-1977
Franklin,Maeve922@gmail.com,Retail,ELLIS ST / JONES ST,Maeve,Chief finance officer,GENEVA AV / MISSION ST,MA,23-10-1983,17-05-1994,77861,PAID,CARD PAYMENT,08-09-1997,Healthcare,Domestic,Express,710,1066,900 Block of ELLSWORTH ST,400 Block of 28TH ST,DELIVERED,1/20/1997,09-08-1997
Sophie,Seth275@ymail.com,Internal Goods,24TH ST / MISSION ST,Seth,Material handling executive,1600 Block of FILLMORE ST,NJ,30-12-2014,10-06-2031,48315,NOT PAID,CARD PAYMENT,,Construction,Domestic,Regular,959,1253,600 Block of FRANCISCO ST,FELL ST / MASONIC AV,NOT DELIVERED,12-09-1996,
Matthew,Maria344@yahoo.com,Retail,600 Block of JOHNMUIR DR,Maria,IT support executive,3400 Block of CESAR CHAVEZ ST,OK,03-01-1995,14-09-2000,83002,PAID,CARD PAYMENT,05-03-1999,Automotive,International,Regular,147,535,800 Block of BRYANT ST,900 Block of RANDOLPH ST,DELIVERED,02-07-1999,03-05-1999
Larry,Taron588@yahoo.co.in,Internal Goods,1700 Block of LYON ST,Taron,Sales manager,1000 Block of POTRERO AV,NC,05-08-1979,03-08-1996,47650,PAID,COD,08-11-1977,Arts and crafts,International,Express,613,1256,800 Block of BRYANT ST,0 Block of 6TH ST,DELIVERED,03-08-1977,11-08-1977
Elena,Bryce621@google.co.in,Internal Goods,3100 Block of 20TH AV,Bryce,Block development manager,900 Block of MARKET ST,NY,11-06-2003,16-03-2010,19386,NOT PAID,COD,,Luggage,Domestic,Regular,590,1033,ELLIS ST / LAGUNA ST,0 Block of HYDE ST,NOT DELIVERED,2/21/1972,
Brady,Ramona218@gmail.com,Retail,1300 Block of COLUMBUS AV,Ramona,In House logistics executive,POLK ST / PINE ST,OH,06-06-1974,09-10-1976,39432,PAID,COD,15-09-2005,Electronics,Domestic,Regular,193,817,100 Block of STEUART ST,900 Block of VALENCIA ST,DELIVERED,06-06-2005,9/15/2005
Sapphire,Adrienne107@gmail.com,Retail,LARKIN ST / POST ST,Adrienne,Assistant manager,6TH ST / MARKET ST,NM,13-09-1994,20-04-2007,1421,PAID,COD,12-12-2019,Luggage,Domestic,Regular,879,1037,700 Block of FOLSOM ST,300 Block of ARBALLO DR,DELIVERED,11/17/2019,12-12-2019
Gene,Dawn743@yahoo.com,Retail,800 Block of AMAZON AV,Dawn,Non-executive director,200 Block of DIVISION ST,PA,11-07-2003,01-04-2010,16113,PAID,COD,15-11-2013,Industrial Equipments,Domestic,Regular,275,951,1600 Block of VANNESS AV,100 Block of PHELAN AV,DELIVERED,10/27/2013,11/15/2013
Magdalene,Yessenia134@yahoo.com,Retail,400 Block of 39TH AV,Yessenia,Delivery Boy,1600 Block of FOLSOM ST,MO,28-05-1992,22-01-2001,52318,NOT PAID,CARD PAYMENT,,Construction,International,Regular,319,770,800 Block of MARKET ST,0 Block of GORDON ST,NOT DELIVERED,07-11-2006,
Norma,Ryan368@ymail.com,Wholesale,300 Block of CAPISTRANO AV,Ryan,Branch manager,600 Block of INDIANA ST,NY,16-11-1979,14-11-1988,7389,NOT PAID,CARD PAYMENT,,Hazardous Goods,Domestic,Express,52,293,800 Block of BRYANT ST,600 Block of VALENCIA ST,NOT DELIVERED,9/23/2003,
Destiny,Harriette113@ymail.co.in,Retail,400 Block of POWELL ST,Harriette,Non-executive director,1100 Block of GUERRERO ST,RI,16-06-2010,01-10-2012,86040,PAID,COD,15-11-2013,Electronics,Domestic,Regular,702,1414,SHOTWELL ST / 17TH ST,EDDY ST / HYDE ST,DELIVERED,05-03-2013,11/15/2013
Glory,Jana467@gmail.com,Internal Goods,HARRIET ST / HOWARD ST,Jana,Office manager,500 Block of CARTER ST,OR,13-09-1971,25-06-1973,56148,PAID,COD,10-08-2001,Healthcare,Domestic,Express,299,524,1500 Block of BAKER ST,LIPPARD AV / BOSWORTH ST,DELIVERED,4/29/2001,08-10-2001
Latasha,Frances207@ymail.co.in,Internal Goods,1500 Block of TURK ST,Frances,Engineering department manager,0 Block of WHITFIELD CT,HI,02-07-1995,05-09-2013,894,PAID,CARD PAYMENT,17-07-2006,Arts and crafts,Domestic,Regular,930,1183,100 Block of BERRY ST,KERN ST / DIAMOND ST,DELIVERED,1/22/2006,7/17/2006
Clay,Tiffani841@google.co.in,Internal Goods,200 Block of SILVER AV,Tiffani,Chief finance officer,8TH ST / MARKET ST,MO,11-01-1998,06-07-2016,35634,NOT PAID,COD,,Home Furnishing,Domestic,Regular,314,566,700 Block of HOWARD ST,HARRISON ST / 3RD ST,NOT DELIVERED,8/20/1995,
Frances,Cecile32@hotmail.com,Internal Goods,800 Block of BRYANT ST,Cecile,Assistant manager,400 Block of ELLIS ST,CO,06-09-1982,11-08-2001,28701,PAID,CARD PAYMENT,15-11-2013,Hazardous Goods,International,Express,109,961,0 Block of LEE AV,0 Block of FALLON PL,DELIVERED,11/21/2013,11/15/2013
Dinah,Bryce393@ymail.com,Internal Goods,2100 Block of LOMBARD ST,Bryce,Chief executive officer,TAYLOR ST / EDDY ST,NH,09-05-1999,01-06-2005,90380,PAID,CARD PAYMENT,02-08-1993,Food and Beverages,Domestic,Regular,24,54,STOCKTON ST / BROADWAY ST,900 Block of GEARY ST,DELIVERED,01-04-1993,08-02-1993
